id,start_node,end_node,lbl,source_idx,target_idx,label_encoded
E_d6a4ea10-6022-5920-9035-50b5df5db48a,SENSORDATA_94914215-0b72-54f3-84e5-23307cba4035,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_0a8c09bf-edcb-5d3d-ad82-7e6e28a37f1e,SENSORDATA_48d8ac3c-f847-542a-8f7d-9e75396b8db4,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_924d489d-2e11-554a-9bf1-78c890ddcb41,SENSORDATA_a836aeb0-7c13-57a6-a0ae-83348b5478ef,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_0946c83b-687b-528e-9661-359cd043b4d4,SENSORDATA_ff476f24-c5b6-5b65-8c05-475ad95d5840,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_ea8a024e-f8e2-5103-a4be-e28f3426fa42,SENSORDATA_646ece28-1c5e-5cbf-be73-8def75f047c5,PLANT_32f82a36-fdc0-4cbb-95bd-d008aacc4bdb,MEASURES,,,1
E_d3df7369-89dd-5c4e-ac0f-5c75723f295d,SENSORDATA_50cbc18a-dc69-5558-af64-0ba2c3c3bae2,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_97dd2dd8-c49f-5dbc-9245-26d621190880,SENSORDATA_0dce1170-17fe-52f6-bec1-f84786203e67,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_c098773d-4c6a-572b-b86a-2d320ddd9888,SENSORDATA_2e0a90f2-1053-5030-bc3d-d363cf92044d,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_f6a7eac9-6b25-559f-8137-1e735c6cd0ff,SENSORDATA_2829ef09-78ee-5713-ae53-6b1f12df3aa0,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
E_376b0b55-8db5-57bb-8e21-fc702dd9b7e9,SENSORDATA_fbdaa1cd-3d66-5f67-aae6-d98f34ea6f10,PLANT_ac72d278-96a1-4063-94f5-2e3d6d083130,MEASURES,,,1
